Individual,Site,Comp.Species,DBH
ACEPEN02_HF,HF,TSUCAN,1.6
ACEPEN02_HF,HF,TSUCAN,2.7
ACEPEN02_HF,HF,TSUCAN,2.7
ACEPEN02_HF,HF,TSUCAN,3.8
ACEPEN02_HF,HF,TSUCAN,4.4
ACEPEN02_HF,HF,TSUCAN,5.3
ACEPEN02_HF,HF,TSUCAN,5.6
ACEPEN02_HF,HF,TSUCAN,8.1
ACEPEN02_HF,HF,BETALL,17.1
ACEPEN02_HF,HF,ACERUB,22.4
ACEPEN02_HF,HF,TSUCAN,24.4
ACEPEN02_HF,HF,PINSTRO,26.7
ACEPEN02_HF,HF,QUERUB,48.3
ACEPEN02_HF,HF,PINSTRO,57.1
ACEPEN02_WM,WM,ACEPEN,less.than.1
ACEPEN02_WM,WM,ACEPEN,1.1
ACEPEN02_WM,WM,ACESAC,1.2
ACEPEN02_WM,WM,ABIBAL,1.5
ACEPEN02_WM,WM,ABIBAL,1.6
ACEPEN02_WM,WM,ACESAC,1.9
ACEPEN02_WM,WM,ABIBAL,1.9
ACEPEN02_WM,WM,ABIBAL,2
ACEPEN02_WM,WM,ACESAC,2.3
ACEPEN02_WM,WM,ABIBAL,2.4
ACEPEN02_WM,WM,ABIBAL,2.5
ACEPEN02_WM,WM,ABIBAL,2.6
ACEPEN02_WM,WM,ABIBAL,3.2
ACEPEN02_WM,WM,ACEPEN,3.5
ACEPEN02_WM,WM,ABIBAL,3.6
ACEPEN02_WM,WM,ABIBAL,3.7
ACEPEN02_WM,WM,ABIBAL,3.8
ACEPEN02_WM,WM,ABIBAL,3.9
ACEPEN02_WM,WM,ABIBAL,4
ACEPEN02_WM,WM,ABIBAL,4
ACEPEN02_WM,WM,ACEPEN,4
ACEPEN02_WM,WM,ACEPEN,4
ACEPEN02_WM,WM,ABIBAL,4.2
ACEPEN02_WM,WM,FRAAME,4.3
ACEPEN02_WM,WM,ABIBAL,4.4
ACEPEN02_WM,WM,ABIBAL,4.6
ACEPEN02_WM,WM,ABIBAL,4.8
ACEPEN02_WM,WM,ACERUB,5.1
ACEPEN02_WM,WM,ABIBAL,5.2
ACEPEN02_WM,WM,ACEPEN,5.2
ACEPEN02_WM,WM,ACEPEN,6.3
ACEPEN02_WM,WM,ABIBAL,6.4
ACEPEN02_WM,WM,ACEPEN,7.1
ACEPEN02_WM,WM,ULMAME,9.5
ACEPEN02_WM,WM,ABIBAL,11.4
ACEPEN02_WM,WM,ACESAC,16.6
ACEPEN02_WM,WM,PRUSER,28.1
ACEPEN02_WM,WM,ACERUB,28.5
ACEPEN02_WM,WM,PRUSER,28.5
ACEPEN02_WM,WM,PINSTRO,35.7
ACEPEN02_WM,WM,PINSTRO,73
ACEPEN03_HF,HF,TSUCAN,14.9
ACEPEN03_HF,HF,TSUCAN,21.7
ACEPEN03_HF,HF,TSUCAN,31.5
ACEPEN03_HF,HF,TSUCAN,34.4
ACEPEN03_HF,HF,TSUCAN,36.9
ACEPEN04_GR,GR,ACEPEN,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,DIELON,less.than.1
ACEPEN04_GR,GR,ACEPEN,1
ACEPEN04_GR,GR,DIELON,1
ACEPEN04_GR,GR,DIELON,1.1
ACEPEN04_GR,GR,DIELON,1.2
ACEPEN04_GR,GR,BETALL,1.2
ACEPEN04_GR,GR,DIELON,1.3
ACEPEN04_GR,GR,DIELON,1.4
ACEPEN04_GR,GR,DIELON,1.4
ACEPEN04_GR,GR,PRUSER,1.4
ACEPEN04_GR,GR,DIELON,1.7
ACEPEN04_GR,GR,ACEPEN,1.8
ACEPEN04_GR,GR,ABIBAL,1.8
ACEPEN04_GR,GR,ACEPEN,2.2
ACEPEN04_GR,GR,ABIBAL,2.2
ACEPEN04_GR,GR,DIELON,2.2
ACEPEN04_GR,GR,PICMAR,2.3
ACEPEN04_GR,GR,ABIBAL,2.3
ACEPEN04_GR,GR,ACERUB,3.2
ACEPEN04_GR,GR,PICMAR,7.5
ACEPEN04_GR,GR,BETPAP,8.8
ACEPEN04_GR,GR,ABIBAL,10.8
ACEPEN04_GR,GR,POPTRE,13.1
ACEPEN04_GR,GR,BETPAP,13.2
ACEPEN04_GR,GR,ABIBAL,14.6
ACEPEN04_GR,GR,ABIBAL,25.7
ACEPEN08_HF,HF,ACEPEN,less.than.1
ACEPEN08_HF,HF,ACERUB,less.than.1
ACEPEN08_HF,HF,TSUCAN,1
ACEPEN08_HF,HF,ACERUB,1.1
ACEPEN08_HF,HF,ACEPEN,1.2
ACEPEN08_HF,HF,ACERUB,1.9
ACEPEN08_HF,HF,ACERUB,1.9
ACEPEN08_HF,HF,ACERUB,2.2
ACEPEN08_HF,HF,ACERUB,2.8
ACEPEN08_HF,HF,ACERUB,3.1
ACEPEN08_HF,HF,ACERUB,4.3
ACEPEN08_HF,HF,ACERUB,4.6
ACEPEN08_HF,HF,ACERUB,4.7
ACEPEN08_HF,HF,ACERUB,4.9
ACEPEN08_HF,HF,ACERUB,5
ACEPEN08_HF,HF,ACERUB,5.6
ACEPEN08_HF,HF,ACERUB,5.9
ACEPEN08_HF,HF,FAGGRA,7.4
ACEPEN08_HF,HF,QUERUB,8.6
ACEPEN08_HF,HF,BETALL,8.7
ACEPEN08_HF,HF,QUERUB,10.6
ACEPEN08_HF,HF,ACEPEN,11.5
ACEPEN08_HF,HF,QUERUB,11.9
ACEPEN08_HF,HF,BETPAP,12.5
ACEPEN08_HF,HF,QUERUB,12.6
ACEPEN08_HF,HF,BETPAP,16.3
ACEPEN08_HF,HF,QUERUB,22.4
ACEPEN08_SH,SH,ABIBAL,less.than.1
ACEPEN08_SH,SH,ACEPEN,less.than.1
ACEPEN08_SH,SH,ACEPEN,less.than.1
ACEPEN08_SH,SH,ACEPEN,less.than.1
ACEPEN08_SH,SH,ACEPEN,less.than.1
ACEPEN08_SH,SH,ACEPEN,less.than.1
ACEPEN08_SH,SH,ACEPEN,less.than.1
ACEPEN08_SH,SH,ACEPEN,less.than.1
ACEPEN08_SH,SH,QUERUB,less.than.1
ACEPEN08_SH,SH,QUERUB,less.than.1
ACEPEN08_SH,SH,QUERUB,less.than.1
ACEPEN08_SH,SH,ACERUB,less.than.1
ACEPEN08_SH,SH,ACERUB,less.than.1
ACEPEN08_SH,SH,ACERUB,less.than.1
ACEPEN08_SH,SH,ACERUB,less.than.1
ACEPEN08_SH,SH,ACERUB,less.than.1
ACEPEN08_SH,SH,ACERUB,less.than.1
