"","Individual","DBH","Height","Lat","Long","Notes","X","X.1","X.2","X.3","X.4","species","index.in.env.matrix","distance.to.climatic.centroid"
"1","ACEPEN04_GR","2.6","4.16029707",44.87927604,-71.10118504,"",NA,NA,NA,NA,NA,"Acer.pensylvanicum",3181,1.68770827030031
"2","ACEPEN201601_GR","3","4.968671008",44.88921303,-71.07351604,"",NA,NA,NA,NA,NA,"Acer.pensylvanicum",3181,1.68770827030031
"3","ACEPEN201602_GR","2.6","5.727175153",44.88931596,-71.07346801,"",NA,NA,NA,NA,NA,"Acer.pensylvanicum",3181,1.68770827030031
"4","ACEPEN201603_GR","less.than.1","3.421638208",44.89861401,-71.07403999,"",NA,NA,NA,NA,NA,"Acer.pensylvanicum",3181,1.68770827030031
"5","ACEPEN201605_GR","less.than.1","2.622021971",44.92369199,-71.09235202,"",NA,NA,NA,NA,NA,"Acer.pensylvanicum",3181,1.68770827030031
"6","ACEPEN201606_GR","2","2.424340072",44.87515298,-71.05365302,"",NA,NA,NA,NA,NA,"Acer.pensylvanicum",3181,1.68770827030031
"7","BETPAP03_GR","38.2","21.20990304",44.87536102,-71.05296797,"",NA,NA,NA,NA,NA,"Betula.papyrifera",3181,2.08627312443232
"8","BETPAP05_GR","65","6.581887904",44.87937201,-71.10092402,"",NA,NA,NA,NA,NA,"Betula.papyrifera",3181,2.08627312443232
"9","BETPAP201601_GR","7.2","18.139704",44.87997098,-71.09976204,"",NA,NA,NA,NA,NA,"Betula.papyrifera",3181,2.08627312443232
"10","BETPAP201602_GR","9.4","15.62795842",44.87969203,-71.09990202,"",NA,NA,NA,NA,NA,"Betula.papyrifera",3181,2.08627312443232
"11","BETPAP201603_GR","16.2","8.615579702",44.89888198,-71.07387504,"",NA,NA,NA,NA,NA,"Betula.papyrifera",3181,2.08627312443232
"12","BETPAP201605_GR","15","15.98739256",44.92359803,-71.09196402,"",NA,NA,NA,NA,NA,"Betula.papyrifera",3181,2.08627312443232
"13","CORALT01_GR",NA,"1",44.92369702,-71.09207701,"half plot",NA,NA,NA,NA,NA,"Cornus.alternifolia",3181,2.05994407789773
"14","CORALT05_GR","less.than.1","1.3",44.924413,-71.09464003,"half plot",NA,NA,NA,NA,NA,"Cornus.alternifolia",3181,2.05994407789773
"15","CORALT07_GR","less.than.1","1.2",44.889323,-71.07332502,"",NA,NA,NA,NA,NA,"Cornus.alternifolia",3181,2.05994407789773
"16","CORALT08_GR","1.1","1.5",44.88933398,-71.073667,"",NA,NA,NA,NA,NA,"Cornus.alternifolia",3181,2.05994407789773
"17","CORALT201601_GR","less.than.1","0.75",44.92481198,-71.09519198,"",NA,NA,NA,NA,NA,"Cornus.alternifolia",3181,2.05994407789773
"18","CORALT201602_GR","less.than.1","1.6",44.92466002,-71.09575097,"",NA,NA,NA,NA,NA,"Cornus.alternifolia",3181,2.05994407789773
"19","FAGGRA07_GR","less.than.1","1.8",44.88032402,-71.09978702,"",NA,NA,NA,NA,NA,"Fagus.grandifolia",3181,2.52980018310569
"20","FAGGRA201601_GR","8","12.90091928",44.87965498,-71.09664003,"",NA,NA,NA,NA,NA,"Fagus.grandifolia",3181,2.52980018310569
"21","FAGGRA201602_GR","5.8","10.4539453",44.88791199,-71.07324304,"",NA,NA,NA,NA,NA,"Fagus.grandifolia",3181,2.52980018310569
"22","FAGGRA201603_GR","10.8","9.879102494",44.88909502,-71.073308,"",NA,NA,NA,NA,NA,"Fagus.grandifolia",3181,2.52980018310569
"23","FAGGRA201604_GR","5.4","7.699310655",44.92372502,-71.09215102,"",NA,NA,NA,NA,NA,"Fagus.grandifolia",3181,2.52980018310569
"24","FAGGRA201605_GR","1.5","1.703255737",44.92263604,-71.09161098,"",NA,NA,NA,NA,NA,"Fagus.grandifolia",3181,2.52980018310569
