Individual,Site,DBH,Height
SORAME03_GR,GR,2.3,2.611771023
BETPAP201602_GR,GR,9.4,15.62795842
BETPAP05_GR,GR,65,6.581887904
SORAME201601_GR,GR,2.4,2.221378921
SORAME201602_GR,GR,2.2,3.058322667
FAGGRA201602_GR,GR,5.8,10.4539453
ACEPEN201601_GR,GR,3,4.968671008
FAGGRA201603_GR,GR,10.8,9.879102494
ACEPEN201603_GR,GR,less.than.1,3.421638208
SORAME04_GR,GR,1.8,3.644726257
CORALT05_GR,GR,less.than.1,1.3
CORALT201601_GR,GR,less.than.1,0.75
SORAME02_GR,GR,1.3,2.682991983
ACEPEN201605_GR,GR,less.than.1,2.622021971
FAGGRA201605_GR,GR,1.5,1.703255737
BETPAP201605_GR,GR,15,15.98739256
BETPAP03_GR,GR,38.2,21.20990304
ACEPEN201606_GR,GR,2,2.424340072
FAGGRA201604_GR,GR,5.4,7.699310655
SORAME201603_GR,GR,NA,4.46694314
CORALT201602_GR,GR,less.than.1,1.6
CORALT01_GR,GR,0.5,1
BETPAP201603_GR,GR,16.2,8.615579702
ACEPEN201602_GR,GR,2.6,5.727175153
CORALT08_GR,GR,1.1,1.5
CORALT07_GR,GR,less.than.1,1.2
FAGGRA201601_GR,GR,8,12.90091928
ACEPEN04_GR,GR,2.6,4.16029707
BETPAP201601_GR,GR,7.2,18.139704
FAGGRA07_GR,GR,less.than.1,1.8
ACEPEN02_HF,,1.1,2
ACEPEN03_HF,,2.4,3.741765743
BETPAP17_HF,,10.3,11.44829034
FAGGRA03_HF,,6.2,8.319016448
FAGGRA05_HF,,10,14.09703505
FAGGRA09_HF,,3.2,3.165957317
FAGGRA11_HF,,12.2,11.49813358
HAMVIR07_HF,,3.2,5.748653534
HAMVIR08_HF,,1.5,2.21712183
HAMVIR09_HF,,2,2.5
HAMVIR11_HF,,9.8,1.89
HAMVIR12_HF,,7.5,4.725936485
HAMVIR13_HF,,4.4,5.17177967
QUEALB07_HF,,32.6,19.24008769
QUEALB12_HF,,16.9,19.99996225
QUEALB17_HF,,53.8,24.06708556
SORAME01_HF,,9.3,11.9691467
SORAME08_HF,,4.4,5.060763568
SORAME07_HF,,1.9,3.4
FAGGRA12_HF,,15,NA
QUEALB04_HF,,32.7,NA
QUEALB05_HF,,30.3,NA
QUEALB02_HF,,46.4,NA
FAGGRA07_HF,,3.6,NA
ACEPEN09_HF,,3.5,6.706296579
ACEPEN08_HF,,6.8,12.34710479
SORAME03_HF,,1.3,3
SORAME04_HF,,1.5,3.2
BETPAP01_HF,,34.3,15.17106864
BETPAP02_HF,,31.9,59.27180879
BETPAP04_HF,,23,49.19585261
BETPAP15_HF,,9.5,12.06225255
BETPAP09_HF,,5.6,10.34151026
SORAME02_HF,,5.6,8
ACEPEN10_HF,,5.2,8.259810336
ACEPEN14_HF,,1.5,3.276712027
FAGGRA04_SH,,23.6,26.10095168
FAGGRA201601_SH,,5.6,10.12692044
ACEPEN201601_SH,,1.2,2
FAGGRA201602_SH,,7.8,13.90160156
CORALT07_SH,,0.5,1
SORAME99_SH,,5.2,4.187125364
ACEPEN201602_SH,,2.7,4.840836928
BETPAP201601_SH,,22.2,25.37719967
ACEPEN201603_SH,,2.1,4.045990809
BETPAP201602_SH,,18.3,102.5546994
ACEPEN201604_SH,,9.3,23.96046049
BETPAP201603_SH,,46,9.821506923
CORALT201601_SH,,0.5,0.75
CORALT201602_SH,,0.5,0.9
BETPAP201604_SH,,40.6,24.45816961
CORALT02_SH,,1,2
CORALT22_SH,,0.5,0.75
CORALT03_SH,,1.1,1
SORAME03_SH,,7.6,8.862364211
SORAME201601_SH,,1.8,3.839978745
SORAME201602_SH,,8,9.293281721
SORAME201603_SH,,2.4,2.683146999
CORALT201603_SH,,less.than.1,1.5
ACEPEN201605_SH,,4.9,6.79969359
FAGGRA06_SH,,20.4,2.75
ACEPEN08_SH,,15.9,5.452558088
FAGGRA201603_SH,,5.1,8.834840047
BETPAP201605_SH,,26.7,44.14238902
BETPAP201606_SH,,24.5,18.04690662
CORALT01_SH,,2.8,0.75
SORAME201604_SH,,2.1,2.3
HAMVIR08_WM,,3.1,3.7652617
ACEPEN12_WM,,17.3,14.65000274
ACEPEN09ALBCOV_WM,,6.8,9.064439305
HAMVIR09_WM,,3.9,3.372538938
BETPAP07_WM,,13.7,13.99730643
BETPAP08_WM,,21.8,14.89168293
FAGGRA10_WM,,9.2,12.98020546
FAGGRA08DB_WM,,11.5,12.12507305
CORALT07_WM,,0.5,1.5
ACEPEN10_WM,,5.1,6.173838563
CORALT04_WM,,3.2,4.25
FAGGRA04_WM,,13.3,14.02724066
ACEPEN02_WM,,7.2,10.88471977
BETPAP09_WM,,18.5,21.20225685
HAMVIR02_WM,,1.7,2.5
BETPAP06_WM,,14.4,22.67286012
FAGGRA08_WM,,19,17.8706066
ACEPEN11_WM,,4,5.909208423
BETPAP02_WM,,9.5,9.298800236
ACEPEN14_WM,,8,11.31427654
FAGGRA06_WM,,8.7,11.69440848
BETPAP10_WM,,7.2,12.66388012
FAGGRA12_WM,,2.5,5.094175438
HAMVIR10_WM,,1.2,2.682991983
FAGGRA10_WM_2,,18.3,15.55719249
HAMVIR11_WM,,3.5,5.340149274
HAMVIR12_WM,,3.7,4.11128724
CORALT06_WM,,0.5,0.6
CORALT02_WM,,0.5,0.4
CORALT09_WM,,0.5,0.75
CORALT10_WM,,1,0.45
