"","Species","Site","SLA","Stem.density","DBH","c.n"
"ACEPEN","ACEPEN","WM",297.680468948537,1.11368634579624,8.24444444444445,20.0172089385246
"ACERUB","ACERUB","WM",208.415272351234,0.533350766078007,17.8,23.4440758712836
"ACESAC","ACESAC","WM",297.451464062797,0.606631690784842,10.65,21.7180005733897
"ACESPI","ACESPI","WM",NA,NA,4.8,NA
"ALNINC","ALNINC","WM",170.507704163093,0.673989785189867,9.5,19.3279036340105
"AMELAE","AMELAE","WM",249.119239018555,0.671539737707119,0.509562335631344,22.7407533884211
"AROMEL","AROMEL","WM",176.229805068628,0.695256689940739,0.503300572542163,27.9024030266882
"BETALL","BETALL","WM",330.182061138563,0.565362287059257,11.9857142857143,16.911696303011
"BETPAP","BETPAP","WM",292.981616909814,0.556443247629196,13.3333333333333,19.5598077616869
"BETPOP","BETPOP","WM",230.305537644057,0.573856609638638,1.7,19.1337282084001
"CORALT","CORALT","WM",359.026197097186,0.544999059841348,1.17873004583642,18.5866830396394
"CORCOR","CORCOR","WM",334.699822297888,0.520566637748329,3.10123039364776,16.5875248728882
"FAGGRA","FAGGRA","WM",359.369594481315,0.623333865229707,12.65,17.8325776768021
"FRAAME","FRAAME","WM",189.738225421167,0.513467594048285,16.18,17.970437427495
"HAMVIR","HAMVIR","WM",249.166797051707,0.558032281078894,1.7,22.4620282637109
"QUERUB","QUERUB","WM",203.65049333128,0.634820004265194,NA,19.7214870122015
"ULMAME","ULMAME","WM",268.983872219614,0.562931311944152,15.8,16.1539643005171
