Individual,HAMVIR09_HF,HAMVIR11_HF,BETPAP17_HF,HAMVIR08_HF,HAMVIR13_HF,FAGGRA03_HF,QUEALB12_HF,QUEALB17_HF,ACEPEN03_HF,FAGGRA11_HF,FAGGRA09_HF,HAMVIR12_HF,ACEPEN09ALBCOV_WM,ACEPEN02_HF,FAGGRA05_HF,QUEALB07_HF,HAMVIR10_WM,FAGGRA10_WM_PCCG,HAMVIR11_WM,HAMVIR12_WM,CORALT06_WM,CORALT02_WM,CORALT09_WM,CORALT10_WM,ACEPEN02_WM,ACEPEN10_WM,ACEPEN11_WM,ACEPEN12_WM,BETPAP07_WM,BETPAP08_WM,FAGGRA10_WM,BETPAP09_WM,ACEPEN14_WM,BETPAP10_WM,CORALT04_WM,CORALT07_WM,FAGGRA04_WM,FAGGRA06_WM,FAGGRA08_WM,BETPAP02_WM,FAGGRA12_WM,FAGGRA08DB_WM,HAMVIR02_WM,BETPAP06_WM,HAMVIR08_WM,HAMVIR09_WM,FAGGRA04_SH,FAGGRA201601_SH,ACEPEN201601_SH,FAGGRA201602_SH,CORALT07_SH ,SORAME99_SH,ACEPEN201602_SH,BETPAP201601_SH,ACEPEN201603_SH,BETPAP201602_SH,ACEPEN201604_SH,BETPAP201603_SH,CORALT201601_SH,CORALT201602_SH,BETPAP201604_SH,CORALT02_SH,CORALT22_SH,CORALT03_SH,SORAME03_SH,SORAME201601_SH,SORAME201602_SH,SORAME201603_SH,CORALT201603_SH,ACEPEN201605_SH,FAGGRA06_SH,ACEPEN08_SH,FAGGRA201603_SH,BETPAP201605_SH,BETPAP201606_SH,CORALT01_SH,SORAME201604_SH,SORAME08_HF,SORAME01_HF,HAMVIR07_HF,SORAME07_HF,FAGGRA12_HF,QUEALB04_HF,QUEALB05_HF,QUEALB02_HF,FAGGRA07_HF,ACEPEN09_HF,ACEPEN08_HF,SORAME03_HF,SORAME04_HF,BETPAP01_HF,BETPAP02_HF,BETPAP04_HF,BETPAP15_HF,BETPAP09_HF,SORAME02_HF,ACEPEN10_HF,ACEPEN14_HF,SORAME03_GR,BETPAP201602_GR,SORAME201601_GR,SORAME201602_GR,FAGGRA201602_GR,ACEPEN201601_GR,FAGGRA201603_GR,ACEPEN201603_GR,SORAME04_GR,CORALT05_GR,CORALT201601_GR,SORAME02_GR,ACEPEN201605_GR,FAGGRA201605_GR,BETPAP201605_GR,BETPAP03_GR,ACEPEN201606_GR,FAGGRA201604_GR,SORAME201603_GR,CORALT201602_GR,CORALT01_GR,BETPAP201603_GR,ACEPEN201602_GR,CORALT08_GR,CORALT07_GR,FAGGRA201601_GR,ACEPEN04_GR,BETPAP05_GR,BETPAP201601_GR,FAGGRA07_GR
ABIBAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACEPEN,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
ACERUB,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
ACESAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
ACESPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
ACHMIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AGRSPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALNINC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
AMELAE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANUD,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
ARITRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
